Employer,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
Time Warner Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,104
"TJX Companies Inc., The","Framingham, MA",F,F,F,F,F,F,F,F,F,,100,100,103
T-Mobile USA Inc.,"Bellevue, WA",F,F,F,F,F,F,F,F,F,,100,100,
Toyota North America Inc.,"Plano, TX",F,F,F,F,F,F,F,F,F,,100,100,
Toys ‰Û÷R‰Ûª Us Inc.,"Wayne, NJ",F,F,F,F,F,F,F,F,F,,100,75,245
Tractor Supply Company,"Brentwood, TN",,,,,,,,,,,0,0,460
"Transamerica Corp., The","Cedar Rapids, IA",F,F,F,F,F,,F,F,F,,90,90,
TravelCenters of America,"Westlake, OH",P,,,,,,,,,,10,10,365
"Travelers Companies Inc., The","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,112
Travelport Ltd.,"Parsippany, NJ",P,P,,F,P,,,F,P,,50,50,
"Trinity Industries, Inc.","Dallas, TX",P,,,,,,,,,,10,,433
"Tropicana Las Vegas, The","Las Vegas, NV",F,F,F,F,F,,F,F,P,,85,85,
Troutman Sanders LLP,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,100,
True Value Co.,"Chicago, IL",F,F,F,F,F,F,F,F,P,,95,85,
Truven Health Analytics Inc.,"Ann Arbor, MI",F,F,F,F,F,F,,F,P,,80,80,
TRW Automotive Holdings Corp.,"Livonia, MI",,,,,,,,P,,,10,10,175
Tufts Health Plan,"Watertown, MA",F,F,F,F,F,F,F,F,F,,100,,
Turner Construction Co.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Twenty-First Century Fox,"New York, NY",P,,,,,,,,,,10,10,97
Twitter Inc.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
Tyson Foods Inc.,"Springdale, AR",F,F,F,F,F,F,F,F,F,,100,85,83
U.S. Bancorp,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,100,138
Uber Technologies Inc.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
UBM plc,"Manhasset, NY",P,,F,F,P,,,F,P,,45,45,
UBS AG,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
UGI Corp.,"King of Prussia, PA",P,P,,,,,,,,,20,20,349
"Ultimate Software Group Inc., The","Weston, FL",F,F,F,F,F,F,F,F,F,,100,80,
Under Armour Inc.,"Baltimore, MD",F,F,F,F,F,F,F,F,P,,95,20,739
Unilever,"Englewood Cliffs, NJ",F,F,F,F,F,F,F,F,F,,100,100,
Union Bank,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Union Pacific Corp.,"Omaha, NE",F,F,F,F,F,,F,F,P,,85,85,123
Unisys Corp.,"Blue Bell, PA",P,P,,,,,,F,,,30,30,696
United Airlines,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,79
United Natural Foods Inc.,"Providence, RI",P,,,,,,,,,,10,10,397
United Parcel Service Inc.,"Atlanta, GA",F,F,F,F,F,F,F,F,F,,100,90,47
United Rentals Inc.,"Stamford, CT",P,P,,,,,,,,,20,,461
United Services Automobile Association,"San Antonio, TX",F,F,F,F,F,F,F,F,F,,100,85,122
United States Steel Corp.,"Pittsburgh, PA",P,,,,,,,,,,10,10,176
United Technologies Corp.,"Farmington, CT",F,F,F,F,F,F,F,F,F,,100,95,45
UnitedHealth Group Inc.,"Minnetonka, MN",F,F,F,F,F,F,F,F,P,,95,95,14
Universal Health Services,"King of Prussia, PA",P,,,,,,,,,,10,10,324
Unum Group,"Chattanooga, TN",F,F,F,F,F,,F,P,P,,80,60,279
Urban Outfitters Inc.,"Philadelphia, PA",F,F,F,F,F,F,,F,P,,85,10,701
US Foods Inc.,"Rosemont, IL",F,F,F,F,F,F,,P,P,,75,75,128
USG Corp.,"Chicago, IL",F,F,F,F,F,,,P,P,,65,65,653
Valero Energy Corp.,"San Antonio, TX",P,P,,,,,,,,,20,10,13
Vanguard Group Inc.,"Malvern, PA",F,F,F,F,F,F,F,F,F,,100,100,
Veritas Technologies LLC,"Mountain View, CA",F,F,F,F,F,F,,F,P,,85,,
Verizon Communications Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,85,15
VF Corp.,"Greensboro, NC",F,F,F,F,F,F,F,F,F,,100,85,248
Viacom Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,222
Vinson & Elkins LLP,"Houston, TX",F,F,F,F,F,F,F,F,F,,100,100,
Virgin America,"Burlingame, CA",F,F,F,F,F,F,F,F,P,,95,90,
Visa,"Foster City, CA",F,F,F,F,F,F,F,F,F,,100,100,238
Visteon Corp.,"Van Buren Township, MI",F,F,F,F,F,F,F,F,P,,95,95,344
VMware Inc.,"Palo Alto, CA",F,F,F,F,F,F,F,F,P,,95,,
Volkswagen Group of America Inc.,"Herndon, VA",F,F,F,F,F,F,F,F,F,,100,100,
"Vorys, Sater, Seymour and Pease LLP","Columbus, OH",F,F,F,F,F,,F,F,P,,85,75,
Vox Media Inc.,"Washington, DC",F,F,F,F,F,F,F,F,P,,95,,
Voya Financial,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,268
W.R. Berkley,"Greenwich, CT",P,P,,,,,,,,,20,20,385
W.W. Grainger Inc.,"Lake Forest, IL",F,F,F,F,F,F,F,F,F,,100,100,290
"Wachtell, Lipton, Rosen & Katz","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
Waddell & Reed Financial Inc.,"Overland Park, KS",F,F,F,F,F,F,,P,P,,80,75,
Walgreen Co.,"Deerfield, IL",F,F,F,F,F,F,F,F,F,,100,100,35
Wal-Mart Stores Inc.,"Bentonville, AR",F,F,F,F,F,F,F,F,F,,100,90,1
"Walt Disney Co., The","Burbank, CA",F,F,F,F,F,F,F,F,F,,100,100,57
Waste Management Inc.,"Houston, TX",F,F,F,F,F,,F,F,F,,90,90,217
Wawa Inc.,"Wawa, PA",F,F,F,F,F,F,F,F,F,,100,90,
WEC Energy Group,"Milwaukee, WI",F,F,F,F,F,,,F,P,,75,60,519
WeddingWire Inc.,"Chevy Chase, MD",F,F,F,F,F,F,F,F,F,,100,100,
"Weil, Gotshal & Manges LLP","New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
WellCare Health Plans Inc.,"Tampa, FL",P,P,,,,,,,,,20,20,234
Wellmark Inc.,"Des Moines, IA",F,F,F,F,F,F,F,F,F,,100,90,
Wells Fargo & Co.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,30
"Wendy‰Ûªs Co., The","Dublin, OH",F,F,,F,F,,,F,P,,70,65,993
WESCO International Inc.,"Pittsburgh, PA",F,F,F,F,F,,,,,,55,10,360
Western & Southern Financial Group,"Cincinnati, OH",,,,,,,,,,,0,0,481
Western Digital Corp.,"Irvine, CA",P,P,,,,,,,,,20,20,205
Western Refining Inc.,"El Paso, TX",P,,,,,,,,,,10,10,204
"Western Union Co., The","Englewood, CO",P,P,,,,,,,,,20,20,468
WestRock,"Norcross, GA",F,F,F,F,F,,,P,P,,70,,
Weyerhaeuser Co.,"Federal Way, WA",F,F,F,F,F,F,F,F,P,,95,95,355
Whirlpool Corp.,"Benton Harbor, MI",F,F,F,F,F,F,F,F,F,,100,100,148
White & Case LLP,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,
"WhiteWave Foods Co., The","Denver, CO",F,F,F,F,F,F,F,F,F,,100,100,686
Whole Foods Market Inc.,"Austin, TX",F,F,F,F,F,,F,F,P,,85,85,214
Wiley Rein LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
Williams Companies Inc.,"Tulsa, OK",F,F,F,F,F,,,F,F,,80,85,370
Williams Mullen PC,"Richmond, VA",F,F,F,F,F,F,F,F,P,,95,85,
Williams-Sonoma Inc.,"San Francisco, CA",F,F,F,F,F,,F,F,F,,90,90,551
Willis Towers Watson,"Arlington, VA",F,F,F,F,F,F,F,F,F,,100,100,676
Willkie Farr & Gallagher LLP,"New York, NY",F,F,F,F,F,F,F,F,P,,95,55,
Wilmer Cutler Pickering Hale & Dorr LLP,"Washington, DC",F,F,F,F,F,F,F,F,F,,100,100,
Wilson Sonsini Goodrich & Rosati PC,"Palo Alto, CA",F,F,F,F,F,,F,F,P,,85,80,
Windstream Corp.,"Little Rock, AR",P,P,,,,,,,,,20,20,452
Winn-Dixie Stores Inc.,"Jacksonville, FL",F,,,F,F,,,F,,,45,40,
Winston & Strawn LLP,"Chicago, IL",F,F,F,F,F,F,F,F,F,,100,100,
Womble Carlyle Sandridge & Rice LLP,"Winston-Salem, NC",F,F,F,F,F,F,F,F,F,,100,100,
World Fuel Services,"Miami, FL",P,P,,,,,,,,,20,20,68
WPP Group USA,"New York, NY",F,F,F,F,F,,F,F,P,,85,80,
Wyndham Worldwide Corp.,"Parsippany, NJ",F,F,F,F,F,F,F,F,F,,100,95,497
Wynn Resorts Ltd.,"Las Vegas, NV",F,F,F,F,F,F,F,F,F,,100,100,477
Xcel Energy Inc.,"Minneapolis, MN",F,F,F,F,F,F,F,F,F,,100,90,255
Xerox Corp.,"Norwalk, CT",F,F,F,F,F,F,F,F,F,,100,100,143
Xylem Inc.,"Rye Brook, NY",F,F,F,F,F,,,P,P,,65,65,626
Yahoo! Inc.,"Sunnyvale, CA",F,F,F,F,F,F,F,F,F,,100,100,561
Yelp Inc.,"San Francisco, CA",F,F,F,F,F,F,F,F,F,,100,100,
Young‰Ûªs Market Co.,"Tustin, CA",F,F,F,F,F,,F,F,P,,85,80,
YRC Worldwide Inc.,"Overland Park, KS",P,,F,,,,,,P,,20,20,510
Yum! Brands Inc.,"Louisville, KY",F,F,F,F,F,,,F,F,,80,80,228
Zenith Media Services Inc.,"New York, NY",F,F,F,F,F,F,F,F,F,,100,,
Zurich North America,"Schaumburg, IL",F,F,F,F,F,,,F,P,,75,75,
