Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,2017_CEI_Score,2016_CEI_Score,Fortune_1000_Rank
NYSE,ITT,ITT Inc.,46.25,$4.07B,2011,Capital Goods,Fluid Controls,http://www.nasdaq.com/symbol/itt,1,0,0,0,0,0,1,0,"White Plains, NY",P,P,F,F,P,N,N,F,P,,55,55,823
NasDaq,JBHT,"J.B. Hunt Transport Services, Inc.",104.01,$11.38B,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht,1,0,0,0,0,0,1,0,"Lowell, AR",P,P,N,N,N,N,N,N,N,,20,0,434
NYSE,SJM,J.M. Smucker Company (The),105.11,$11.94B,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/sjm,1,0,0,1,0,0,1,0,"Orrville, OH",F,F,F,F,F,F,F,P,P,,90,75,467
NYSE,JCP,"J.C. Penney Company, Inc. Holding Company",3.41,$1.06B,n/a,Consumer Services,Department/Specialty Retail Stores,http://www.nasdaq.com/symbol/jcp,1,0,0,0,0,0,1,0,"Plano, TX",F,F,F,F,F,F,F,F,F,,100,100,250
NYSE,JBL,Jabil Inc.,28.24,$5.06B,1993,Technology,Electrical Products,http://www.nasdaq.com/symbol/jbl,1,0,0,0,0,0,1,0,"St. Petersburg, FL",P,N,N,N,N,N,N,N,N,,10,10,191
NYSE,JEC,Jacobs Engineering Group Inc.,58.55,$7.04B,n/a,Basic Industries,Military/Government/Technical,http://www.nasdaq.com/symbol/jec,1,0,0,0,0,0,1,0,"Pasadena, CA",P,P,N,F,P,N,N,N,N,,35,35,239
NasDaq,JBLU,JetBlue Airways Corporation,20.37,$6.7B,2002,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/jblu,1,0,0,0,1,0,1,0,"Long Island City, NY",F,F,F,F,F,F,F,F,F,,100,100,454
NYSE,JNJ,Johnson & Johnson,136.43,$366.18B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/jnj,1,0,0,1,0,1,1,0,"New Brunswick, NJ",F,F,F,F,F,F,F,F,F,,100,100,37
NYSE,JCI,Johnson Controls International plc,41.69,$38.87B,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/jci,1,0,0,0,0,1,1,1,"Milwaukee, WI",F,F,F,F,F,N,N,F,P,,75,60,66
NYSE,JPM,J P Morgan Chase & Co,95.86,$332.61B,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/jpm,1,0,0,0,0,1,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,100,21
NasDaq,KALU,Kaiser Aluminum Corporation,106.54,$1.8B,n/a,Capital Goods,Metal Fabrications,http://www.nasdaq.com/symbol/kalu,1,0,0,0,0,0,1,0,"Oakland, CA",F,F,F,F,F,F,F,F,F,,100,100,
