Exchange,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Financials,USSIF_Financials,USSIF_ESG,WaterDataset,CarbonEmissions,GlobalEmissions,HRC,ForestRisk,Headquarters,1a_Sexual_Orientation,1b_Gender_Identity,1c_Contractor_Standards,2a_Spousal_Benefits,2b_Parity_Spousal_Benefits,2c_Trans_Inclusive_Healthcare,3a_Org Competency,3b_ERG,4_Positive_LGBTQ_Engagmt,Negative_LGBTQ_Demerit,CEI_Score_2017,CEI_Score_2016,Fortune_1000_Rank,Diff,Reco
NYSE,ED,Consolidated Edison Inc,83.08,$25.4B,n/a,Public Utilities,Power Generation,http://www.nasdaq.com/symbol/ed,1,0,0,0,0,1,1,0,"New York, NY",F,F,F,F,F,F,F,F,P,,95,90,236,5,Hold
NYSE,DTV,DTE Energy Company,55.22,n/a,2016,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/dtv,1,0,0,0,0,1,1,0,"Detroit, MI",F,F,F,N,P,F,F,F,P,,80,75,246,5,Not Rated
NYSE,GD,General Dynamics Corporation,213.34,$63.89B,n/a,Capital Goods,Marine Transportation,http://www.nasdaq.com/symbol/gd,1,0,0,0,1,1,1,0,"Falls Church, VA",F,F,F,F,F,N,F,F,F,,90,85,100,5,Strong Buy
NasDaq,GILD,"Gilead Sciences, Inc.",81.17,$106B,1992,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/gild,1,0,0,0,0,1,1,0,"Foster City, CA",F,F,F,F,F,F,N,F,P,,85,80,118,5,Moderate Buy
NYSE,HBI,Hanesbrands Inc.,23.73,$8.65B,n/a,Consumer Services,Clothing/Shoe/Accessory Stores,http://www.nasdaq.com/symbol/hbi,1,0,0,0,0,0,1,0,"Winston-Salem, NC",F,F,F,F,F,F,F,P,P,,90,85,490,5,Moderate Buy
NYSE,OPY,"Oppenheimer Holdings, Inc.",17.85,$236.36M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/opy,1,0,0,0,0,0,1,0,"New York, NY",F,F,F,F,F,F,F,F,F,,100,60,,40,Not Rated
NYSE,ITW,Illinois Tool Works Inc.,152.82,$52.59B,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/itw,1,0,0,0,0,1,1,0,"Glenview, IL",F,F,F,F,F,N,N,P,P,,65,60,201,5,Moderate Buy
NasDaq,NSIT,"Insight Enterprises, Inc.",45.17,$1.62B,1995,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/nsit,1,0,0,0,0,0,1,0,"Tempe, AZ",F,F,F,F,F,N,N,P,P,,65,60,493,5,Moderate Buy
NYSE,NRG,"NRG Energy, Inc.",26.06,$8.25B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/nrg,1,0,0,0,0,0,1,0,"Princeton, NJ",F,F,N,F,F,N,F,P,P,,70,65,196,5,Moderate Buy
NYSE,PPL,PPL Corporation,37.56,$25.76B,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ppl,1,0,0,0,0,1,1,0,"Allentown, PA",F,F,F,F,F,F,F,F,F,,100,95,257,5,Moderate Buy
