Name,Fund Type,AUM (US$ millions),Mgmt Fee %,Exp Ratio %,YTD %,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco,Other / Qualitative,Shareholder Engagement
CISYX - Calvert U.S. Large Cap Core Responsible Index Fund Y,Equity Large Cap,922.6,0.27,0.46,11.76,9.29,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CGJAX - Calvert U.S. Large Cap Growth Responsible Index Fund A,Equity Large Cap,57.74,0.27,0.57,17.95,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CGJCX - Calvert U.S. Large Cap Growth Responsible Index Fund C,Equity Large Cap,57.74,0.27,1.32,17.39,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CGJIX - Calvert U.S. Large Cap Growth Responsible Index Fund I,Equity Large Cap,57.74,0.27,0.22,18.22,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CGJYX - Calvert U.S. Large Cap Growth Responsible Index Fund Y,Equity Large Cap,57.74,0.27,0.32,18.13,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CFJAX - Calvert U.S. Large Cap Value Responsible Index Fund A,Equity Large Cap,120.44,0.27,0.57,5.33,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CFJCX - Calvert U.S. Large Cap Value Responsible Index Fund C,Equity Large Cap,120.44,0.27,1.32,4.88,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CFJIX - Calvert U.S. Large Cap Value Responsible Index Fund I,Equity Large Cap,120.44,0.27,0.22,5.6,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CFJYX - Calvert U.S. Large Cap Value Responsible Index Fund Y,Equity Large Cap,120.44,0.27,0.32,5.56,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,Yes,Yes
CULAX - Calvert Ultra-Short Income Fund A,Bond (Fixed Inc),900.76,0.38,0.77,0.97,0.98,C,C,C,C,C,C,C,C,C,C,R,R,R,R,R,,
CULIX - Calvert Ultra-Short Income Fund I,Bond (Fixed Inc),900.76,0.38,0.5,1.25,1.36,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CULYX - Calvert Ultra-Short Income Fund Y,Bond (Fixed Inc),900.76,0.38,0.52,1.22,1.24,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CUBAX - Calvert Unconstrained Bond Fund A,Bond (Fixed Inc),106.88,0.47,1.1,2.54,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CUBCX - Calvert Unconstrained Bond Fund C,Bond (Fixed Inc),106.88,0.47,1.85,1.98,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CUBIX - Calvert Unconstrained Bond Fund I,Bond (Fixed Inc),106.88,0.47,0.65,2.87,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CUBYX - Calvert Unconstrained Bond Fund Y,Bond (Fixed Inc),106.88,0.47,0.85,2.78,0,C,C,C,C,C,C,C,--,C,C,R,R,R,R,R,,
CCMNX - CCM Alternative Income Fund,Balanced,32.56,0,2.76,3.86,1.38,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,,
LCILX - ClearBridge Sustainability Leaders Fund (IS shares),All Cap,7.43,0.65,0.75,11.49,0,P,C,P,P,P,P,C,R,P,--,R,P,R,R,R,Yes,Yes
CRAIX - CRA Qualified Investment - CRA,Bond (Fixed Inc),2053.43,0.3,0.91,2.76,1.99,P *,P,P,P,P,--,--,--,--,--,R,R,R,R,R,,
CRANX - CRA Qualified Investment - Institutional,Bond (Fixed Inc),2053.43,0.3,0.46,3.17,2.45,P *,P,P,P,P,--,--,--,--,--,X,X,X,X,X,,
CRATX - CRA Qualified Investment - Retail,Bond (Fixed Inc),2053.43,0.3,0.81,3.14,2.17,P *,P,P,P,P,--,--,--,--,--,X,X,X,X,X,,
DOMAX - Domini International Social Equity Fund -- A shares,Int'l Global,1091.09,0.94,1.53,19.56,5.71,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
DOMOX - Domini International Social Equity Fund -- Institutional shares,Int'l Global,1091.09,0.94,1.1,19.68,6.15,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
DOMIX - Domini International Social Equity Fund -- Investor shares,Int'l Global,1091.09,0.94,1.52,19.64,5.75,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
DSBFX - Domini Social Bond Fund - Investor shares,Bond (Fixed Inc),151.51,0.32,0.93,3.78,2.42,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
DSBIX - Domini Social Bond Fund -- Institutional shares,Bond (Fixed Inc),151.51,0.32,0.63,3.99,2.66,C *,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
DSEPX - Domini Social Equity Fund -- A shares,Equity Large Cap,857.85,0.24,1.18,8.08,3.74,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
DIEQX - Domini Social Equity Fund -- Institutional shares,Bond (Fixed Inc),857.85,0.24,0.8,8.3,4.14,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
DSEFX - Domini Social Equity Fund -- Investor shares,Equity Large Cap,857.85,0.24,1.14,8.08,3.77,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
DSFRX - Domini Social Equity Fund -- R shares,Equity Large Cap,857.85,0.24,0.82,8.24,4.09,C,C,C,C,C,C,C,R,C,C,X,R,X,X,X,Yes,Yes
SRIAX - Gabelli ESG Fund Inc A,All Cap,67.02,1,1.68,8.03,6.22,C *,C,C,--,--,--,--,--,C,--,R,--,R,R,R,,
SRIGX - Gabelli ESG Fund Inc AAA,All Cap,67.02,1,1.68,8.02,6.22,C *,C,C,--,--,--,--,--,C,--,R,--,R,R,R,,
SRICX - Gabelli ESG Fund Inc C,All Cap,67.02,1,2.43,7.5,5.42,C *,C,C,--,--,--,--,--,C,--,R,--,R,R,R,,
SRIDX - Gabelli ESG Fund Inc I,All Cap,67.02,1,1.43,8.2,6.5,C *,C,C,--,--,--,--,--,C,--,R,--,R,R,R,,
GCBLX - Green Century Balanced,Balanced,226.42,0.65,1.48,7.94,4.79,C *,R,C,P,C,C,P,--,C,C,R,X,X,R,X,Yes,Yes
GCEQX - Green Century Equity,Equity Large Cap,209.57,0.25,1.25,12.98,8.86,C *,R,C,--,C,C,C,--,C,P,X,R,X,X,X,Yes,Yes
GCIFX - Green Century MSCI International Index Fund - Institution,Int'l Global,26.47,0.28,0,17.91,0,C *,R,C,--,C,C,C,--,C,C,X,R,X,X,X,,Yes
GCINX - Green Century MSCI International Index Fund - Investor,Int'l Global,26.47,0.28,0,17.75,0,C *,R,C,--,C,C,C,--,C,C,X,R,X,X,X,,Yes
ESGMX - Mirova Global Sustainable Equity Fund - Class A,Int'l Global,62.28,0.8,0,21.31,0,P,X,C,C,P,R,C,--,C,C,--,--,--,--,--,,
ESGYX - Mirova Global Sustainable Equity Fund - Class Y,Int'l Global,62.28,0.8,0,21.49,0,P,R,C,C,P,R,C,--,C,C,R,--,R,C,R,,Yes
