Name,Fund Type,Avg % 3 yr,Climate/Clean Technology,Pollution/Toxics,Environment,Community Development,Diversity & EEO,Human Rights,Labor Relations,Sudan,Board Issues,Executive Pay,Alcohol,Animal Welfare,Defense/Weapons,Gambling,Tobacco
PXSAX - Pax Small Cap Fund A,Equity Mid-Sm Cap,4.56,7,7,7,7,7,7,7,5,7,7,7,7,9,7,9
PORTX/ - Portfolio 21 Global Equity Fund,Int'l Global,7,6,7,5,9,7,7,7,1,1,1,1,5,5,5,5
PORIX - Portfolio 21 Institutional,Int'l Global,7.27,4,3,3,3,5,5,5,7,3,5,5,5,5,5,5
MBAPX - Praxis Genesis Balanced A,Balanced,4.22,3,3,3,3,3,3,3,1,3,3,9,1,9,9,9
MCONX - Praxis Genesis Conservative A,Balanced,3.25,3,3,3,3,3,3,3,1,3,3,9,1,9,9,9
MGAFX - Praxis Genesis Growth A,Balanced,5.04,3,3,3,3,3,3,3,1,3,3,9,1,9,9,9
MMDEX - Praxis Growth Index Fund - Institutional,Equity Large Cap,10.93,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MGNDX - Praxis Growth Index Fund A,Equity Large Cap,10.48,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MIIIX - Praxis Intermediate Income - Institutional,Bond (Fixed Inc),2.61,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MIIAX - Praxis Intermediate Income A,Bond (Fixed Inc),2.2,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MPLAX - Praxis International Index A,Int'l Global,2.09,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MPLIX - Praxis International Index Fund - Institutional,Equity Specialty,2.66,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MMSIX - Praxis Small Cap Fund - Institutional,Equity Mid-Sm Cap,1.81,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MMSCX - Praxis Small Cap Fund A,Equity Mid-Sm Cap,1.22,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MVIIX - Praxis Value Index - Institutional,Equity Large Cap,6,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
MVIAX - Praxis Value Index A,Equity Large Cap,5.5,1,1,3,3,3,3,3,1,1,1,9,5,9,9,9
SEBFX - Saturna Sustainable Bond Fund,Bond (Fixed Inc),0,8,7,7,7,7,7,7,1,7,7,9,7,7,9,9
SEEFX - Saturna Sustainable Equity Fund,Int'l Global,0,8,7,7,7,7,7,7,1,7,7,9,7,7,9,9
MYPVX - Sentinel Sustainable Core Opportunities Fund (A Shares),Equity Large Cap,7.54,3,3,3,1,3,3,3,1,3,3,5,5,5,5,5
CVALX - Sentinel Sustainable Core Opportunities Fund (I Shares),Equity Large Cap,7.84,3,3,3,3,3,3,3,1,3,3,5,5,5,5,5
NEXTX - Shelton Green Alpha Fund,All Cap,2.89,8,7,7,7,7,7,7,9,7,7,7,7,7,9,9
TSBIX - TIAA-CREF Social Choice Bond Institutional,Bond (Fixed Inc),3.48,3,3,3,3,3,3,3,9,3,3,5,1,5,5,5
TSBPX - TIAA-CREF Social Choice Bond Premier,Bond (Fixed Inc),3.32,3,3,3,3,3,3,3,9,3,3,5,1,5,5,5
TSBRX - TIAA-CREF Social Choice Bond Retail,Bond (Fixed Inc),3.16,3,3,3,3,3,3,3,9,3,3,5,1,5,5,5
TSBBX - TIAA-CREF Social Choice Bond Retirement,Bond (Fixed Inc),3.19,3,3,3,3,3,3,3,9,3,3,5,1,5,5,5
TISCX - TIAA-CREF Social Choice Equity Institutional,Equity Specialty,7.61,3,3,3,3,3,3,3,9,3,3,5,1,5,5,5
TRPSX - TIAA-CREF Social Choice Equity Premier,Equity Specialty,7.46,3,3,3,3,3,3,3,9,3,3,5,1,5,5,5
TICRX - TIAA-CREF Social Choice Equity Retail,Equity Specialty,7.34,3,3,3,3,3,3,3,9,3,3,5,1,5,5,5
TRSCX - TIAA-CREF Social Choice Equity Retirement,Equity Specialty,7.35,3,3,3,3,3,3,3,9,3,3,5,1,5,5,5
TSMDX - Trillium Small/Mid Cap Mutual Fund,Equity Mid-Sm Cap,0,7,7,7,1,7,7,7,7,7,7,1,7,7,7,9
BNIEX - UBS International Sustainable Equity Fund,Int'l Global,4.75,7,7,7,7,7,7,7,5,7,7,9,7,9,9,9
WSBFX - Walden Asset Management Fund,Balanced,6.35,7,7,7,7,7,5,7,1,1,1,5,5,5,5,5
WSEFX - Walden Equity Fund,Equity Large Cap,8.13,7,7,7,7,7,5,7,1,1,1,5,5,5,5,5
WAMFX - Walden Midcap Fund,Equity Mid-Sm Cap,7.4,7,7,7,7,7,5,7,1,1,1,5,5,5,5,5
WASOX - Walden Small Cap Innovations Fund,Equity Mid-Sm Cap,7.13,3,3,3,3,3,5,3,1,1,1,5,5,5,5,5
WASMX - Walden SMID Cap Innovations Fund,Equity Mid-Sm Cap,7.87,3,3,3,3,3,5,3,1,1,1,5,7,5,5,5
