Fund Type,Name,AUM (US$ millions),YTD %,Avg % 1 yr,Avg % 3 yr,Avg % 5 yr,Avg % 10 yr,RTN% Prev Yr,Mgmt Fee %,Exp Ratio %
All Cap,SRIGX - Gabelli ESG Fund Inc AAA,67.02,8.02,8.09,6.22,10,6.8,10.39,1,1.68
All Cap,SRICX - Gabelli ESG Fund Inc C,67.02,7.5,7.27,5.42,9.18,6.01,9.63,1,2.43
All Cap,SRIDX - Gabelli ESG Fund Inc I,67.02,8.2,8.41,6.5,10.27,7.06,10.72,1,1.43
Balanced,GCBLX - Green Century Balanced,226.42,7.94,8.04,4.79,9,5.34,5.39,0.65,1.48
Equity Large Cap,GCEQX - Green Century Equity,209.57,12.98,14.9,8.86,13.86,6.94,8.7,0.25,1.25
Int'l Global,GCIFX - Green Century MSCI International Index Fund - Institution,26.47,17.91,0,0,0,0,0,0.28,0
Int'l Global,GCINX - Green Century MSCI International Index Fund - Investor,26.47,17.75,0,0,0,0,0,0.28,0
Int'l Global,ESGMX - Mirova Global Sustainable Equity Fund - Class A,62.28,21.31,16.1,0,0,0,0,0.8,0
Int'l Global,ESGYX - Mirova Global Sustainable Equity Fund - Class Y,62.28,21.49,16.34,0,0,0,0,0.8,0
Equity Large Cap,NBSRX - Neuberger Berman Socially Resp Inv,2393.16,9.97,13.54,7.93,13.67,7.06,10.1,0.73,0.86
Equity Large Cap,NRARX - Neuberger Berman Socially Resp R3,2393.16,9.66,13.04,7.47,13.19,0,9.62,0.73,1.29
Equity Large Cap,NBSTX - Neuberger Berman Socially Resp Tr,2393.16,9.9,13.41,7.77,13.49,6.87,9.88,0.87,1.03
Equity Large Cap,NRAAX - Neuberger Berman Socially Responsive A,2393.16,9.87,13.36,7.74,13.45,0,9.89,0.73,1.05
Equity Large Cap,NRACX - Neuberger Berman Socially Responsive C,2393.16,9.28,12.53,6.93,12.61,0,9.11,0.73,1.79
Equity Large Cap,NBSLX - Neuberger Berman Socially Responsive I,2393.16,10.12,13.78,8.14,13.89,0,10.31,0.62,0.68
Int'l Global,PAFSX - Parnassus Asia Fund,15.36,13.87,15.66,3.64,0,0,13.98,1.1,1.25
Equity Large Cap,PRBLX - Parnassus Core Equity Fund,15612.1,8.52,10.72,7.68,13.59,9.46,10.4,0.6,0.88
Equity Specialty,PARWX - Parnassus Endeavor Fund,4588.2,11.19,20.76,14.05,17.9,12.67,21.42,0.69,0.95
Bond (Fixed Inc),PRFIX - Parnassus Fixed Income Fund,243.2,3.61,0.93,2.37,1.53,3.74,2.42,0.5,0.68
All Cap,PARNX - Parnassus Fund,1029.39,8.01,14.63,8.54,15.13,9.44,13.46,0.62,0.84
Equity Mid-Sm Cap,PARMX - Parnassus Mid Cap Fund,2564.98,8.94,11.37,9.37,13.26,9.17,16.07,0.74,0.99
Balanced,PAXWX - Pax Balanced Fund - Individual Investor,1955.9,8.22,8.31,4.91,8.13,4.28,5.81,0.75,0.77
Balanced,PAXIX - Pax Balanced Fund - Institutional Investor,1955.9,8.39,8.59,5.17,8.4,4.54,6.1,0.75,0.52
Bond (Fixed Inc),PAXBX - Pax Core Bond fund Individual,689.07,3.12,0,0,0,0,0,0.4,0.72
Bond (Fixed Inc),PXBIX - Pax Core Bond fund Institutional,689.07,3.28,0,0,0,0,0,0.4,0.47
Equity Specialty,PXWEX - Pax Ellevate Global Women's Index Fund - Individual Investor,156.09,15.16,14.93,6.22,10.89,0,6.01,0.65,0.98
Equity Specialty,PXWIX - Pax Ellevate Global Women's Index Fund - Institutional Class,156.09,15.31,15.19,6.45,11.15,0,6.3,0.65,0.74
Equity Large Cap,PAXDX - Pax ESG Beta Dividend Fund Individual,139.89,8,0,0,0,0,0,0.65,0.9
Equity Large Cap,PXDIX - Pax ESG Beta Dividend Fund Institutional,139.89,8.17,0,0,0,0,0,0.65,0.65
Equity Large Cap,PXGAX - Pax ESG Beta Quality Fund - Class A,199.53,11.47,14.3,7.81,0,0,6.24,0.65,1.06
Equity Large Cap,PXWGX - Pax ESG Beta Quality Fund - Individual Investor,199.53,11.48,14.29,7.82,12.59,7.02,6.26,0.65,1.07
Equity Large Cap,PWGIX - Pax ESG Beta Quality Fund - Institutional Investor,199.53,11.67,14.57,8.08,12.88,7.36,6.49,0.65,0.84
Int'l Global,PGRNX - Pax Global Environmental Markets Fund - Individual Investor,511.04,17.56,16.99,7.14,12.93,0,10.62,0.8,1.29
Int'l Global,PGINX - Pax Global Environmental Markets Fund - Institutional Class,511.04,17.73,17.24,7.39,13.19,0,10.91,0.8,1.04
Int'l Global,PXEAX - Pax Global Environmental Markets Fund A,511.04,17.52,16.93,7.1,0,0,10.62,0.8,1.3
Bond (Fixed Inc),PAXHX - Pax High Yield Bond Fund - Individual Investor,413.08,4.94,8.69,1.92,4.37,5.51,13.8,0.5,0.99
Bond (Fixed Inc),PXHIX - Pax High Yield Bond Fund - Institutional Investor,413.08,5.27,8.97,2.21,4.63,5.76,13.94,0.5,0.74
Bond (Fixed Inc),PXHAX - Pax High Yield Bond Fund A,413.08,5.09,8.84,2.01,0,0,13.78,0.5,0.98
Equity Large Cap,PAXLX - Pax Large Cap Fund Individual,773.57,11.35,0,0,0,0,0,0.65,0.95
Equity Large Cap,PXLIX - Pax Large Cap Fund Intitutional,773.57,11.53,0,0,0,0,0,0.65,0.7
Equity Mid-Sm Cap,PWMDX - Pax Mid Cap Fund Individual,146.41,7.66,10.25,0,0,0,0,0.75,1.15
Equity Mid-Sm Cap,PMIDX - Pax Mid Cap Fund Institutional,146.41,7.96,10.58,0,0,0,0,0.75,0.9
Int'l Global,PXINX - Pax MSCI EAFE ESG Leaders Index Fund - Individual Investor,609.39,17.06,14.84,2.45,5.13,0,-1.85,0.55,0.8
Int'l Global,PXNIX - Pax MSCI EAFE ESG Leaders Index Fund - Institutional Class,609.39,17.24,15.14,2.7,4.77,0,-1.63,0.55,0.55
Equity Mid-Sm Cap,PXSCX - Pax Small Cap Fund - Individual Investor,821.23,-1.01,7.42,4.55,13.06,0,17.9,0.75,1.19
Equity Mid-Sm Cap,PXSIX - Pax Small Cap Fund - Institutional Class,821.23,-0.81,7.71,4.82,13.35,0,18.17,0.75,0.94
Equity Mid-Sm Cap,PXSAX - Pax Small Cap Fund A,821.23,-1.01,7.44,4.56,0,0,17.85,0.75,1.19
Int'l Global,PORTX/ - Portfolio 21 Global Equity Fund,471.51,18.43,16.66,7,10.32,4.14,3.72,0.9,1.33
Int'l Global,PORIX - Portfolio 21 Institutional,471.51,18.65,16.99,7.27,10.63,4.44,3.96,0.9,1.08
Balanced,MBAPX - Praxis Genesis Balanced A,69.12,8.02,8.57,4.22,7.14,0,6.49,0.05,0.54
Balanced,MCONX - Praxis Genesis Conservative A,22.25,5.94,4.63,3.25,4.59,0,4.22,0.05,0.6
Balanced,MGAFX - Praxis Genesis Growth A,60.16,9.43,11.11,5.04,8.91,0,7.82,0.05,0.62
Equity Large Cap,MMDEX - Praxis Growth Index Fund - Institutional,244.09,17.33,18.34,10.93,14.84,9,7.62,0.3,0.44
Equity Large Cap,MGNDX - Praxis Growth Index Fund A,244.09,17,17.84,10.48,14.34,8.53,7.15,0.3,0.86
Bond (Fixed Inc),MIIIX - Praxis Intermediate Income - Institutional,500.34,3.72,0.97,2.61,2.4,4.7,2.44,0.4,0.54
Bond (Fixed Inc),MIIAX - Praxis Intermediate Income A,500.34,3.36,0.48,2.2,1.98,4.32,2.12,0.4,0.94
Int'l Global,MPLAX - Praxis International Index A,271.46,18.27,18.08,2.09,6.79,0,4.97,0.6,1.32
Equity Specialty,MPLIX - Praxis International Index Fund - Institutional,271.46,18.82,18.87,2.66,7.43,0,5.48,0.6,0.77
Equity Mid-Sm Cap,MMSIX - Praxis Small Cap Fund - Institutional,47.92,-0.19,3.45,1.81,6.76,5.04,8.93,0.3,1
Equity Mid-Sm Cap,MMSCX - Praxis Small Cap Fund A,47.92,-0.52,2.73,1.22,6.09,4.51,8.18,0.3,1.67
Equity Large Cap,MVIIX - Praxis Value Index - Institutional,177.74,5.81,12.85,6,12.76,4.58,16.75,0.3,0.44
Equity Large Cap,MVIAX - Praxis Value Index A,177.74,5.46,12.22,5.5,12.18,4.02,16.13,0.3,0.94
Bond (Fixed Inc),SEBFX - Saturna Sustainable Bond Fund,20.22,6.38,3.95,0,0,0,1.85,0.55,0.89
Int'l Global,SEEFX - Saturna Sustainable Equity Fund,4.65,15.99,12.57,0,0,0,-1.43,0.65,0.99
Equity Large Cap,MYPVX - Sentinel Sustainable Core Opportunities Fund (A Shares),385.76,12.29,14.98,7.54,12.79,5.67,9.66,0.7,0.17
Equity Large Cap,CVALX - Sentinel Sustainable Core Opportunities Fund (I Shares),385.76,12.49,15.36,7.84,13.11,6.05,10.02,0.7,0.91
All Cap,NEXTX - Shelton Green Alpha Fund,40.32,22.75,19.2,2.89,0,0,-4.27,1,1.31
Bond (Fixed Inc),TSBIX - TIAA-CREF Social Choice Bond Institutional,1434.57,4.32,1.63,3.48,0,0,3.19,0.35,0.4
Bond (Fixed Inc),TSBPX - TIAA-CREF Social Choice Bond Premier,1434.57,4.22,1.48,3.32,0,0,3.03,0.35,0.55
Bond (Fixed Inc),TSBRX - TIAA-CREF Social Choice Bond Retail,1434.57,4.14,1.35,3.16,0,0,2.81,0.35,0.68
Bond (Fixed Inc),TSBBX - TIAA-CREF Social Choice Bond Retirement,1434.57,4.15,1.38,3.19,0,0,2.83,0.35,0.65
Equity Specialty,TISCX - TIAA-CREF Social Choice Equity Institutional,2656.43,10.85,15.34,7.61,13.77,7.45,13.51,0.15,0.18
Equity Specialty,TRPSX - TIAA-CREF Social Choice Equity Premier,2656.43,10.76,15.17,7.46,13.61,0,13.32,0.15,0.32
Equity Specialty,TICRX - TIAA-CREF Social Choice Equity Retail,2656.43,10.6,15.05,7.34,13.46,7.2,13.26,0.15,0.44
Equity Specialty,TRSCX - TIAA-CREF Social Choice Equity Retirement,2656.43,10.69,15.11,7.35,13.5,7.18,13.24,0.15,0.43
Equity Mid-Sm Cap,TSMDX - Trillium Small/Mid Cap Mutual Fund,10.54,5.83,11.39,0,0,0,14.48,0.75,1
Int'l Global,BNIEX - UBS International Sustainable Equity Fund,31.55,19.81,18.52,4.75,9.35,2.05,-1.07,0.8,1.25
Balanced,WSBFX - Walden Asset Management Fund,114.66,7.18,8.99,6.35,8.93,5.88,9.08,0.75,1
Equity Large Cap,WSEFX - Walden Equity Fund,190.6,9.25,13.11,8.13,11.89,7.47,11.8,0.75,1
Equity Mid-Sm Cap,WAMFX - Walden Midcap Fund,41.74,6.71,8.82,7.4,11.66,0,12.13,0.75,1
Equity Mid-Sm Cap,WASOX - Walden Small Cap Innovations Fund,84.09,0.43,9.3,7.13,10.47,0,23.96,0.75,1
Equity Mid-Sm Cap,WASMX - Walden SMID Cap Innovations Fund,42.87,4.38,12.22,7.87,11.51,0,20.11,0.75,1
