"Name","Fund Type","Attribute Type","Attribute","Rating","Count","Avg % 3 yr","Avg % 1 yr","Avg % 5 yr","Avg % 10 yr","Mgmt Fee %","Exp Ratio %","AUM (US$ millions)"
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Products","Tobacco","X",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Community Development","P",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Diversity & EEO","P",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Human Rights","--",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Labor Relations","--",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"ARGFX - Ariel Fund","Equity Mid-Sm Cap","Social","Sudan","X",1,5.91,11.32,15.15,6.78,0.59,1.00,2087.05
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Environmental","Climate/Clean Technology","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Environmental","Environment","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Environmental","Pollution/Toxics","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Governance","Board Issues","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Governance","Executive Pay","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Alcohol","--",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Animal Welfare","--",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Defense/Weapons","--",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Gambling","--",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Products","Tobacco","--",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Community Development","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Diversity & EEO","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Human Rights","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Labor Relations","P",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BAFWX - Brown Advisory Sustainable Growth Fund","Equity Large Cap","Social","Sudan","--",1,13.31,16.61,15.89,0.00,0.60,0.74,454.22
"BCAIX - Boston Common International Fund","Int'l Global","Environmental","Climate/Clean Technology","C",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Environmental","Environment","C",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Environmental","Pollution/Toxics","C",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Governance","Board Issues","C",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Governance","Executive Pay","--",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Products","Alcohol","R",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Products","Animal Welfare","R",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Products","Defense/Weapons","R",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Products","Gambling","R",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Products","Tobacco","R",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Social","Community Development","P",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Social","Diversity & EEO","C",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Social","Human Rights","C",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Social","Labor Relations","C",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAIX - Boston Common International Fund","Int'l Global","Social","Sudan","R",1,2.68,16.90,7.11,0.00,0.90,1.12,211.00
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Environmental","Climate/Clean Technology","C",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Environmental","Environment","C",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Environmental","Pollution/Toxics","C",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Governance","Board Issues","P",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Governance","Executive Pay","--",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Alcohol","R",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Animal Welfare","R",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Defense/Weapons","R",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Gambling","R",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Products","Tobacco","R",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Community Development","P",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Diversity & EEO","C",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Human Rights","C",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Labor Relations","C",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BCAMX - Boston Common Large Cap Core Equity Fund","Equity Large Cap","Social","Sudan","R",1,7.56,13.41,12.33,0.00,0.75,1.00,32.92
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Environmental","Climate/Clean Technology","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Environmental","Environment","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Environmental","Pollution/Toxics","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Governance","Board Issues","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Governance","Executive Pay","C",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
"BNIEX - UBS International Sustainable Equity Fund","Int'l Global","Products","Alcohol","X",1,4.75,18.52,9.35,2.05,0.80,1.25,31.55
